Time (s),Left Encoder Raw,Right Encoder Raw,Left Encoder (deg),Right Encoder (deg),Left Load Cell 1 (V),Left Load Cell 2 (V),Right Load Cell 1 (V),Right Load Cell 2 (V),Motor CAN ID,Motor Position (rad),Motor Velocity (rad/s),Motor Torque (Nm),Motor Temperature (C),Motor Error
11.961437833029777,0,0,0.0,0.0,2.5199265480041504,2.3474724292755127,0.03223443403840065,0.030622711405158043,2,0.3496227264404297,0.27472686767578125,-0.010989189147949219,63,0
12.06258725002408,0,0,0.0,0.0,2.5223443508148193,2.3434431552886963,0.03142857179045677,0.03142857179045677,2,0.4148550033569336,1.9230766296386719,-0.010989189147949219,63,0
12.16391741600819,0,0,0.0,0.0,2.5223443508148193,2.345054864883423,0.03223443403840065,0.030622711405158043,2,0.52471923828125,2.9340667724609375,-0.010989189147949219,63,0
12.266669125005137,0,0,0.0,0.0,2.5255677700042725,2.33941388130188,0.03304029256105423,0.030622711405158043,2,1.0290298461914062,4.670330047607422,-0.010989189147949219,63,0
12.375990875007119,0,0,0.0,0.0,2.5279853343963623,2.3434431552886963,0.03304029256105423,0.030622711405158043,2,1.575303077697754,4.274726867675781,-0.010989189147949219,63,0
12.478343041031621,0,0,0.0,0.0,2.527179479598999,2.3466665744781494,0.03304029256105423,0.030622711405158043,2,2.1139469146728516,1.8131866455078125,-0.010989189147949219,63,0
12.580522583040874,0,0,0.0,0.0,2.5279853343963623,2.342637300491333,0.03304029256105423,0.030622711405158043,2,2.278362274169922,1.5934066772460938,-0.010989189147949219,63,0
12.683900583011564,0,0,0.0,0.0,2.5255677700042725,2.3466665744781494,0.03223443403840065,0.030622711405158043,2,2.3538951873779297,0.5384597778320312,-0.010989189147949219,63,0
12.786004625028,0,0,0.0,0.0,2.5167031288146973,2.3668131828308105,0.03223443403840065,0.03142857179045677,2,2.358854293823242,0.16483688354492188,-0.010989189147949219,63,0
12.888827665999997,0,0,0.0,0.0,2.4925272464752197,2.394212484359741,0.03223443403840065,0.03142857179045677,2,2.3584728240966797,-0.010990142822265625,-0.010989189147949219,63,0
12.992680458002724,0,0,0.0,0.0,2.490109920501709,2.399853229522705,0.03142857179045677,0.030622711405158043,2,2.3584728240966797,0.03296661376953125,-0.010989189147949219,63,0
13.093679791025352,0,0,0.0,0.0,2.467545747756958,2.4119412899017334,0.03142857179045677,0.030622711405158043,2,2.3561840057373047,-0.03296661376953125,-0.010989189147949219,63,0
13.195527041039895,0,0,0.0,0.0,2.44820499420166,2.430476188659668,0.03223443403840065,0.030622711405158043,83,0.03223443403840065,0.030622711405158043,0.0,2,0
13.298321625043172,0,0,0.0,0.0,2.436923027038574,2.4377288818359375,0.03223443403840065,0.03142857179045677,2,2.251659393310547,-2.4725265502929688,-0.010989189147949219,63,0
13.404159833036829,0,0,0.0,0.0,2.4320876598358154,2.4433698654174805,0.03223443403840065,0.030622711405158043,2,1.6664762496948242,-5.571430206298828,-0.010989189147949219,63,0
13.50833954103291,0,0,0.0,0.0,2.4312820434570312,2.4377288818359375,0.03223443403840065,0.030622711405158043,2,1.3208589553833008,-5.549449920654297,-0.010989189147949219,63,0
13.61211629101308,46216,16411,4061.953125,1442.373046875,2.432893753051758,2.442564010620117,3.732736810314518e-39,2.0360866686639592e-42,88,0.03223443403840065,0.030622711405158043,0.0,2,0
13.717182499996852,0,0,0.0,0.0,2.432893753051758,2.442564010620117,0.03223443403840065,0.029816849157214165,2,0.4854278564453125,-1.6153831481933594,-0.010989189147949219,63,0
13.821213999995962,0,0,0.0,0.0,2.4409525394439697,2.4296703338623047,0.03223443403840065,0.030622711405158043,2,0.4068441390991211,-0.6703300476074219,-0.010989189147949219,63,0
13.927289000013843,0,0,0.0,0.0,2.44820499420166,2.4256410598754883,0.03223443403840065,0.030622711405158043,2,0.3969249725341797,-0.0549468994140625,-0.010989189147949219,63,0
14.030587790999562,0,0,0.0,0.0,2.465128183364868,2.41113543510437,0.03223443403840065,0.030622711405158043,2,0.3969249725341797,-0.03296661376953125,-0.010989189147949219,63,0
14.134040208009537,0,0,0.0,0.0,2.498974323272705,2.379706859588623,0.03223443403840065,0.030622711405158043,2,0.3973064422607422,-0.16483688354492188,-0.010989189147949219,63,0
14.237642291001976,0,0,0.0,0.0,2.518315076828003,2.3523077964782715,0.03142857179045677,0.029816849157214165,2,0.3988323211669922,0.0549468994140625,-0.010989189147949219,63,0
14.34139654104365,0,0,0.0,0.0,2.5231502056121826,2.342637300491333,0.03223443403840065,0.03142857179045677,2,0.4125661849975586,0.5164833068847656,-0.010989189147949219,63,0
14.445799875014927,0,0,0.0,0.0,2.5320146083831787,2.342637300491333,0.03223443403840065,0.030622711405158043,2,0.7490272521972656,4.164836883544922,-0.010989189147949219,63,0
14.550181416037958,0,0,0.0,0.0,2.532820463180542,2.3418314456939697,0.03223443403840065,0.030622711405158043,2,1.0107192993164062,5.219779968261719,-0.010989189147949219,63,0
14.673509791027755,0,0,0.0,0.0,2.5320146083831787,2.342637300491333,0.03223443403840065,0.030622711405158043,2,2.1852827072143555,5.593406677246094,-0.010989189147949219,63,0
14.782887125038542,0,0,0.0,0.0,2.5287909507751465,2.342637300491333,0.03223443403840065,0.030622711405158043,2,2.7639808654785156,1.5934066772460938,-0.010989189147949219,63,0
14.88768904103199,0,0,0.0,0.0,2.5110621452331543,2.37406587600708,0.03223443403840065,0.030622711405158043,2,2.8093767166137695,-0.16483688354492188,-0.010989189147949219,63,0
14.991219916031696,0,0,0.0,0.0,2.4852747917175293,2.396630048751831,0.03142857179045677,0.030622711405158043,2,2.809758186340332,0.20878982543945312,-0.010989189147949219,63,0
15.097048124996945,0,0,0.0,0.0,2.4602928161621094,2.4175825119018555,0.03223443403840065,0.030622711405158043,2,2.8093767166137695,-0.010990142822265625,-0.010989189147949219,63,0
15.201376250013709,39456,16411,3467.8125,1442.373046875,2.4353113174438477,2.4288644790649414,3.732736810314518e-39,2.14398665041697e-42,83,0.03223443403840065,0.030622711405158043,0.0,2,0
15.305571791017428,0,0,0.0,0.0,2.4240291118621826,2.4409525394439697,0.03304029256105423,0.030622711405158043,2,2.7918291091918945,-0.8461532592773438,-0.010989189147949219,63,0
15.411179791030008,0,0,0.0,0.0,2.4183881282806396,2.447399139404297,0.03223443403840065,0.030622711405158043,2,2.0815210342407227,-7.395603179931641,-0.010989189147949219,63,0
15.515191000013147,0,0,0.0,0.0,2.4175825119018555,2.444981813430786,0.03223443403840065,0.030622711405158043,2,1.6783018112182617,-8.64834976196289,-0.010989189147949219,63,0
15.621206500043627,0,0,0.0,0.0,2.419193983078003,2.4409525394439697,0.03223443403840065,0.030622711405158043,2,0.8417253494262695,-6.538459777832031,-0.010989189147949219,63,0
15.726369750045706,0,0,0.0,0.0,2.421611785888672,2.438534736633301,0.03223443403840065,0.030622711405158043,2,0.22297286987304688,0.3186798095703125,-0.010989189147949219,63,0
15.83057287504198,0,0,0.0,0.0,2.438534736633301,2.4256410598754883,0.03223443403840065,0.030622711405158043,2,0.22297286987304688,0.010990142822265625,-0.010989189147949219,63,0
15.938825416029431,41520,16412,3649.21875,1442.4609375,2.45062255859375,2.416776657104492,0.03223443403840065,0.030622711405158043,215,0.03223443403840065,0.030622711405158043,0.0,2,0
16.04505854099989,0,0,0.0,0.0,2.456263542175293,2.4143588542938232,0.03223443403840065,0.03142857179045677,2,0.22297286987304688,0.03296661376953125,-0.010989189147949219,63,0
16.14876137499232,0,0,0.0,0.0,2.4602928161621094,2.405494451522827,0.03223443403840065,0.030622711405158043,2,0.22297286987304688,0.09889984130859375,-0.010989189147949219,63,0
16.253054666041862,0,0,0.0,0.0,2.496556520462036,2.382124423980713,0.03223443403840065,0.029816849157214165,2,0.22297286987304688,0.03296661376953125,-0.010989189147949219,63,0
16.360351915995125,0,0,0.0,0.0,2.5110621452331543,2.3643956184387207,0.03223443403840065,0.030622711405158043,2,0.22640609741210938,0.3846168518066406,-0.010989189147949219,63,0
16.463877208007034,0,0,0.0,0.0,2.523956060409546,2.3442492485046387,0.03223443403840065,0.030622711405158043,2,0.23441696166992188,0.40659332275390625,-0.010989189147949219,63,0
16.567746540997177,0,0,0.0,0.0,2.5344321727752686,2.33941388130188,0.03142857179045677,0.030622711405158043,2,0.7043943405151367,4.4945068359375,-0.010989189147949219,63,0
16.672199000022374,0,2,0.0,0.17578125,2.5344321727752686,2.3410255908966064,0.03223443403840065,0.030622711405158043,2,1.882772445678711,7.483516693115234,-0.010989189147949219,63,0
16.77651049999986,0,0,0.0,0.0,2.532820463180542,2.3386080265045166,0.03223443403840065,0.030622711405158043,2,1.882772445678711,7.483516693115234,-0.010989189147949219,63,0
16.88053329102695,0,0,0.0,0.0,2.5312087535858154,2.3386080265045166,0.03223443403840065,0.030622711405158043,2,2.5724802017211914,4.758243560791016,-0.010989189147949219,63,0
16.98465929098893,0,0,0.0,0.0,2.5175092220306396,2.3587543964385986,0.03223443403840065,0.030622711405158043,2,2.936408042907715,-0.09889984130859375,-0.010989189147949219,63,0
17.089891040988732,0,0,0.0,0.0,2.501391887664795,2.3861536979675293,0.03223443403840065,0.030622711405158043,2,2.936408042907715,-0.120880126953125,-0.010989189147949219,63,0
17.1930203330121,0,0,0.0,0.0,2.486886501312256,2.3950181007385254,0.03304029256105423,0.030622711405158043,2,2.936408042907715,-0.0549468994140625,-0.010989189147949219,63,0
17.297099166025873,0,0,0.0,0.0,2.4635164737701416,2.412747383117676,0.03223443403840065,0.029816849157214165,2,2.934882164001465,-0.4285697937011719,-0.010989189147949219,63,0
17.40202716604108,0,0,0.0,0.0,2.441758155822754,2.4288644790649414,0.03142857179045677,0.030622711405158043,2,2.928778648376465,-0.5384597778320312,-0.010989189147949219,63,0
17.506764625024516,57671,16410,5068.740234375,1442.28515625,2.4183881282806396,2.432893753051758,0.03223443403840065,0.030622711405158043,2,2.847524642944336,-1.4395599365234375,-0.010989189147949219,63,0
