Time (s),Ankle Position (deg),Ankle Velocity (deg/s),Cable 1 Tension (V),Cable 2 Tension (V),Motor position (rad),Motor velocity (rad/s),Motor Feedforward Torque (Nm),Motor Temperature (C)
9.449789582984522,20735,0.0,2.46674,3.10337,0.927558,0.01099,-0.025641,62.0
9.55792679201113,20735,0.0,2.457875,3.179927,0.927558,0.01099,-0.025641,62.0
9.667924291978125,20991,0.0,2.45707,3.120293,0.927558,0.01099,-0.025641,62.0
9.777905458002351,20991,0.0,2.45707,3.200879,0.927558,0.01099,-0.025641,62.0
9.885764333012048,20991,0.0,2.45707,3.153333,0.927558,0.01099,-0.025641,62.0
9.994858207996003,21247,0.0,2.453846,3.187985,0.927558,0.01099,-0.025641,62.0
10.1042346250033,20991,0.0,2.45304,3.193626,0.927558,0.01099,-0.025641,62.0
10.214906083012465,20991,0.0,2.440146,3.125934,0.927558,0.01099,-0.025641,62.0
10.325258125027176,20991,0.0,2.440146,3.166227,0.927558,0.01099,-0.025641,62.0
10.43718558299588,21247,0.0,2.42,3.0937,0.927558,0.01099,-0.025641,62.0
10.549337000004016,21503,0.0,2.403077,3.160586,0.927558,0.01099,-0.025641,62.0
10.662043958029244,21759,0.0,2.384542,3.124322,0.927558,0.01099,-0.025641,62.0
10.770744832989294,22015,0.0,2.378095,3.121099,0.927558,0.01099,-0.025641,62.0
10.879077667021193,23551,0.0,2.374066,3.117069,0.927558,0.01099,-0.025641,62.0
10.987447792023886,27647,0.0,2.367619,3.08967,0.927558,0.01099,-0.025641,62.0
11.096137417014688,34303,0.0,2.368425,3.104982,0.927558,0.01099,-0.025641,62.0
11.203838707995601,44543,0.0,2.367619,3.020366,0.927558,0.01099,-0.025641,62.0
11.313605667033698,55807,0.0,2.371648,3.117876,0.927558,0.01099,-0.025641,62.0
11.42216883302899,2047,0.0,2.370037,2.987326,0.927558,0.01099,-0.025641,62.0
11.533408500021324,18943,0.0,2.37326,3.107399,0.927558,0.01099,-0.025641,62.0
11.645871750020888,34047,0.0,2.372454,3.104982,0.927558,0.01099,-0.025641,62.0
11.756858833017759,47871,0.0,2.370037,3.094506,0.927558,0.01099,-0.025641,62.0
11.868052542035002,63743,0.0,2.369231,3.077582,0.927558,0.01099,-0.025641,62.0
11.978758250013925,12799,0.0,2.369231,3.071136,0.927558,0.01099,-0.025641,62.0
12.089551458018832,25855,0.0,2.370037,3.091282,0.927558,0.01099,-0.025641,62.0
12.200223583029583,38399,0.0,2.370842,3.071136,0.927558,0.01099,-0.025641,62.0
12.310007875028532,49663,0.0,2.369231,3.061465,0.927558,0.01099,-0.025641,62.0
12.422447208024096,59903,0.0,2.370037,3.071941,0.927558,0.01099,-0.025641,62.0
12.533894332998898,5375,0.0,2.369231,3.071136,0.927558,0.01099,-0.025641,62.0
12.647657292021904,17151,0.0,2.370037,3.05663,0.927558,0.01099,-0.025641,62.0
12.762445208034478,27391,0.0,2.386154,3.055018,0.927558,0.01099,-0.025641,62.0
12.873962541983929,36095,0.0,2.391795,3.063077,0.927558,0.01099,-0.025641,62.0
12.984684917028062,36863,0.0,2.42,3.134799,0.927558,0.01099,-0.025641,62.0
13.094642625015695,37119,0.0,2.434505,3.068718,0.927558,0.01099,-0.025641,62.0
13.204985374992248,65535,0.0,2.440146,3.156557,0.927558,0.01099,-0.025641,62.0
